Id,Y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36
1,1,1,1,117961,290919,1,2,2,1,1,122938,0,13.68412831028536,1,1,1,117906,24.926684418847124,1,118786,118784,0,1,1,7.08,90.44483568521274,0,78149,1,2,1,1.0,3868,118386,1,41.60182960728939,1
2,1,1,1,118315,118467,1,-1,-1,1,1,118464,1,17.219229607900356,1,21,1,162182,77.94446673795686,1,119174,119172,-1,2,1,1.77,5.023251562904186,0,73814,1,-1,1,1.0,59749,118316,1,71.68624754807696,1
3,1,1,1,117961,290919,1,-1,0,1,1,119993,0,46.05298778564833,2,0,1,240983,15.60895385508182,1,117908,117905,0,-1,1,1.77,9.739884633748474,0,34734,1,0,1,-2.19243078388,5409,118343,1,93.0444392452535,2
4,1,1,1,117876,19721,2,0,1,1,1,117878,2,27.08267088767724,-1,0,1,173457,75.97446468451608,1,118570,118568,1,1,1,1.77,69.81449961148472,0,37259,1,0,5,0.281073546687,20690,117877,1,45.408979961765695,1
5,1,1,1,117961,290919,1,1,-1,1,1,119961,1,17.080317522301403,1,0,1,118260,38.43170399141794,1,118261,118259,1,2,1,1.77,72.13430315115266,0,43951,1,1,771,-0.686109122676,50806,118446,1,37.38140943230468,2
6,1,1,1,122880,270488,1,-1,0,1,1,122870,2,63.6810695033204,-1,0,1,281292,37.10477027184592,1,120099,120097,0,2,1,5.31,21.915183358597123,0,3263,135,-1,3,0.770595684393,1930,122974,1,51.639241208139964,2
7,1,1,1,117961,120518,1,-1,1,1,1,119142,-1,19.590549167229266,-1,0,1,147738,11.389657770740424,1,123047,123045,2,0,1,1.77,52.39843369849784,0,80449,1,1,2,0.540285208046,3187,118343,1,70.90840450415284,2
8,1,1,1,118212,118398,1,0,-1,1,1,118970,2,58.6564620533707,0,21,1,124964,95.39939593886541,1,118865,118863,2,0,1,1.77,6.452332180062936,0,78886,1,2,1,-2.71429581997,28057,118213,1,57.78520160732512,0
9,1,1,1,118887,118398,1,0,0,1,1,118889,1,54.3524695781192,2,0,1,206237,23.23913983958311,1,118892,118890,1,0,1,10.62,43.94241122869662,0,45103,1,1,3,1.0,46185,118888,1,59.092383595695765,1
10,1,1,1,125714,290919,1,1,0,1,1,118910,-1,19.208942397995067,1,0,1,117906,22.728739109347462,1,117908,117905,-1,-1,1,1.77,73.68048114624425,0,76859,1,-1,326,-0.114099573944,6453,125715,1,74.97754617440683,-1
11,1,3,1,117961,117887,1,-1,1,1,1,118458,0,28.96731018046187,0,0,1,118054,28.3926441001794,1,118055,118054,2,-1,1,1.77,72.75675327383814,0,25271,1,-1,10,1.0,3970,118300,1,18.35677921655776,1
12,1,1,1,117961,290919,1,1,-1,1,1,119993,1,97.12092017317204,1,1,1,117906,69.69244152554384,1,117908,117905,0,-1,1,1.77,87.64586050944297,0,15705,16,2,4,-1.09557239957,6699,118343,1,44.120690298777035,1
13,1,1,1,117961,290919,1,-1,-1,1,1,118910,-1,13.533449594681024,1,0,1,117906,91.94452927913458,1,118322,118321,2,2,1,3.54,96.06935116994931,0,36996,1,1,8,-2.76361373197,1249,117962,1,27.388923528558472,0
14,1,1,1,117961,118331,1,2,1,1,1,124449,-1,49.77440134255996,1,1,1,143193,38.5116839194768,1,118899,122297,1,2,1,1.77,63.52421722077878,0,78841,7,1,52,1.0,15768,118225,1,64.86177571812517,0
15,1,1,1,117961,118363,1,1,-1,1,1,120312,2,9.864255334748062,2,1,1,118362,33.435008174482306,1,118364,118361,2,1,1,7.08,8.946434564049198,0,916,1,-1,21,0.745913712162,3077,118300,1,68.29922348936867,1
16,1,1,1,127616,292795,1,0,0,1,1,118623,1,2.037335071248414,2,2,1,286106,92.61653121086978,1,118997,118995,1,0,1,1.77,38.66645673560455,0,36428,1,2,12,-0.522788587557,3234,119256,1,61.07917526429849,2
17,1,1,1,117961,290919,1,2,1,1,1,118821,-1,27.486982981018272,-1,0,1,240983,45.52541669458235,1,118322,118321,-1,0,1,1.77,23.792768434173606,0,34431,123,1,57,-3.82754043403,50736,118052,1,16.743130278208962,0
18,1,1,1,117961,290919,1,2,2,1,1,118700,1,22.832668341936856,1,2,1,117906,77.30497301143151,1,118786,118784,-1,-1,1,1.77,98.83386379664502,0,30998,1,2,3,1.0,2942,118343,2,87.92635706215461,0
